No.	Title	Name	Rtg	FED	1.Rd	2.Rd	3.Rd	4.Rd	5.Rd	6.Rd	7.Rd	8.Rd	9.Rd	10.Rd	11.Rd	Pts. 	Rk.	TB1	TB2	TB3	TB4	TB5
1	GM	Praggnanandhaa R 	2785	IND	 59b½	105w1	 44b1	 86w½	 32b0	 46w½	 54w1	 17b½	 19w½	 12b0	 53b½	6	35	2666	64.5	69	0	0
2	GM	Erigaisi Arjun 	2771	IND	 60w½	 66b1	 76w1	  3b½	 36w1	 21b½	 32w0	 43b½	 22w1	 15b½	  5w½	7	6	2687	63	67.5	0	0
3	GM	Gukesh D 	2767	IND	 61b1	 52w½	 49b1	  2w½	 86b0	 53w0	 63b0	115w½	 65b½	 70w1	 67b1	6	41	2647	56.5	60	0	0
4	GM	Firouzja Alireza 	2754	FRA	 62w1	 54b1	 21w0	101w½	 34b1	 31b½	 28w1	 12w½	 20b1	  7w½	 32b½	7.5	3	2684	64	68.5	0	0
5	GM	Keymer Vincent 	2751	GER	 63b½	 59w1	 52b½	 56w1	 87b0	 65w1	 53b½	 16w1	 21b1	 32w½	  2b½	7.5	4	2668	62.5	68	0	0
6	GM	Abdusattorov Nodirbek 	2748	UZB	 64w1	 56b½	 57w1	 21b½	 52w½	 54b½	 31w1	 86b½	 32w½	 20b½	 19w½	7	10	2663	63	68	0	0
7	GM	Giri Anish 	2746	NED	 65b1	 58w½	 56w½	 68b½	 39w1	 87b1	 86w½	 21b½	 23w1	  4b½	 12w1	8	1	2668	62	66.5	0	0
8	GM	Aronian Levon 	2744	USA	 66w½	 60b½	106w1	 58b½	 43w½	 36b½	 57w½	 52b0	108w0	 74w½	 76b½	5	84	2634	54.5	59	0	0
9	GM	Nepomniachtchi Ian 	2742	FID	 67b½	 63w1	 58b½	 65w½	 53b½	 82w½	 46b1	 96w½	 42b½	 28w½	 25b0	6	42	2646	61.5	66	0	0
10	GM	Mamedyarov Shakhriyar 	2741	AZE	 68w½	 70b½	 62w1	 76b½	 58w1	 52b½	 43w½	 23b0	 57w1	 31b½	 39w1	7	13	2649	55.5	60	0	0
11	GM	Vachier-Lagrave Maxime 	2738	FRA	 69b½	 67w1	 83b½	 87w0	108w1	 43b0	 61w1	 54b1	 52w1	 86b½	 20w½	7	16	2637	60.5	65	0	0
12	GM	Niemann Hans Moke 	2733	USA	 70w½	 68b½	 78w1	 83b½	 76w½	 55b1	 52w1	  4b½	 86w½	  1w1	  7b0	7	8	2668	60.5	64.5	0	0
13	GM	Fedoseev Vladimir 	2731	SLO	 71b0	113w1	 65b0	 66w1	 57b0	 72w½	 70b1	 97w1	 46b½	 59w1	 28b0	6	44	2634	56.5	59.5	0	0
14	GM	Sindarov Javokhir 	2722	UZB	 72w½	 78b½	 68w0	 73b½	110w1	 58b½	 65w1	 57b½	 60w1	 23b½	 43w½	6.5	24	2639	53.5	57.5	0	0
15	GM	Yu Yangyi 	2714	CHN	 73b½	 69w1	 86b0	 57w½	 59b½	109w1	 83b1	 53w½	 87b1	  2w½	108b½	7	17	2634	60.5	65.5	0	0
16	GM	Vidit Santosh Gujrathi 	2712	IND	 74w1	 57b½	 90w½	 91b½	 68w½	 76b1	 87w1	  5b0	 43w½	 42b1	 86w½	7	15	2640	61	66	0	0
17	GM	Rapport Richard 	2711	HUN	 75b½	 73w1	 93w½	 90b1	 21w0	 57b½	 68w1	  1w½	 53b½	 43b½	 31w1	7	12	2657	57	62	0	0
18	GM	Harikrishna Pentala 	2704	IND	 76w0	 92b½	111b1	 59w½	 67b½	 63w½	 69b½	 71w0	112w1	 68b1	 54b1	6.5	26	2617	52	56	0	0
19	GM	Liang Awonder 	2698	USA	 77b½	 75w½	 71b½	 79w1	 54b0	 59w½	 81b1	 58w1	  1b½	 53w1	  6b½	7	11	2659	56	60	0	0
20	GM	Nihal Sarin 	2693	IND	 78w½	 72b1	 94w½	 96b½	 83w1	101b1	 21w1	 32b½	  4w0	  6w½	 11b½	7	9	2666	61.5	65.5	0	0
21	GM	Maghsoodloo Parham 	2692	IRI	 79b1	 71w1	  4b1	  6w½	 17b1	  2w½	 20b0	  7w½	  5w0	108b0	104w½	6	27	2701	69.5	75	0	0
22	GM	Sevian Samuel 	2692	USA	 80w½	 82b½	 70w½	 60b1	 91w½	 68b½	101w½	106b1	  2b0	 63w1	 90w1	7	18	2633	54.5	58.5	0	0
23	GM	Van Foreest Jorden 	2692	NED	 81b½	 77w½	 75b½	 71w1	 65b½	 91w1	 96b½	 10w1	  7b0	 14w½	 82b½	6.5	23	2655	61.5	65.5	0	0
24	GM	Dubov Daniil 	2691	FID	 82w½	 80b½	 88w½	 67b½	 90w1	106b½	108w½	 60b½	 72w½	104b½	 55w½	6	45	2616	57	61	0	0
25	GM	Esipenko Andrey 	2687	FID	 83b½	 81w1	 97b½	 93w½	 96b0	 67w1	 82b½	 63w½	 71b½	 69w1	  9w1	7	19	2630	56	60.5	0	0
26	GM	Sarana Alexey 	2686	SRB	 84w½	 86b0	 67w0	 92b½	113b½	 78w½	100b½	 74w½	 95b½	109w0	114b½	4	112	2593	49.5	52.5	0	0
27	GM	Eljanov Pavel 	2682	UKR	 85b½	 83w0	 69b1	 75w½	 82b0	 77w½	 71b0	 78w½	 74b0	 92w½	 49b½	4	109	2623	50	53.5	0	0
